,Variable,Feature,Value,Coefficient,N,N.not.0,P.value,Q.value,Measure,is_filtered
12,Antibiotics_before_3_months,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,Antibiotics_before_3_months1,0.104774874,518,469,0.023482619,0.200776394,tax,filtered
13,Antibiotics_before_3_months,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,Antibiotics_before_3_months1,0.104774874,518,469,0.023482619,0.200776394,tax,filtered
14,Antibiotics_before_3_months,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia,Antibiotics_before_3_months1,-0.079617809,518,337,0.026916933,0.226987175,tax,filtered
15,Antibiotics_before_3_months,k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae,Antibiotics_before_3_months1,0.047321132,518,83,0.02972331,0.248609644,tax,filtered
2,Antibiotics_before_3_months,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea,Antibiotics_before_3_months1,0.038933447,646,96,0.000478788,0.005069609,tax,unfiltered
3,Antibiotics_before_3_months,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea|s__Pantoea_unclassified,Antibiotics_before_3_months1,0.038933447,646,96,0.000478788,0.005069609,tax,unfiltered
4,Antibiotics_before_3_months,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar,Antibiotics_before_3_months1,0.025827663,646,203,0.002670314,0.02679698,tax,unfiltered
5,Antibiotics_before_3_months,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA,Antibiotics_before_3_months1,-0.089402734,646,230,0.003106904,0.030496209,tax,unfiltered
6,Antibiotics_before_3_months,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA|t__GCF_000185525,Antibiotics_before_3_months1,-0.089402734,646,230,0.003106904,0.030496209,tax,unfiltered
7,Antibiotics_before_3_months,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,Antibiotics_before_3_months1,-0.113423051,646,468,0.003866346,0.03748208,tax,unfiltered
8,Antibiotics_before_3_months,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae,Antibiotics_before_3_months1,-0.113423051,646,468,0.003866346,0.03748208,tax,unfiltered
9,Antibiotics_before_3_months,k__Eukaryota,Antibiotics_before_3_months1,0.019276811,646,70,0.00525261,0.049995297,tax,unfiltered
10,Antibiotics_before_3_months,k__Eukaryota|p__Ascomycota,Antibiotics_before_3_months1,0.019276811,646,70,0.00525261,0.049995297,tax,unfiltered
11,Antibiotics_before_3_months,k__Eukaryota|p__Ascomycota|c__Saccharomycetes,Antibiotics_before_3_months1,0.019276811,646,70,0.00525261,0.049995297,tax,unfiltered
12,Antibiotics_before_3_months,k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales,Antibiotics_before_3_months1,0.019276811,646,70,0.00525261,0.049995297,tax,unfiltered
13,Antibiotics_before_3_months,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar|t__GCF_000160015,Antibiotics_before_3_months1,0.023873353,646,203,0.005502993,0.05144316,tax,unfiltered
14,Antibiotics_before_3_months,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia,Antibiotics_before_3_months1,-0.078267269,646,412,0.005946915,0.055428069,tax,unfiltered
15,Antibiotics_before_3_months,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,Antibiotics_before_3_months1,-0.061398201,646,212,0.007051455,0.065335161,tax,unfiltered
16,Antibiotics_before_3_months,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus|t__GCF_000332875,Antibiotics_before_3_months1,-0.061398201,646,212,0.007051455,0.065335161,tax,unfiltered
17,Antibiotics_before_3_months,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,Antibiotics_before_3_months1,-0.073454638,646,172,0.009488213,0.085886104,tax,unfiltered
18,Antibiotics_before_3_months,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron|t__Bacteroides_thetaiotaomicron_unclassified,Antibiotics_before_3_months1,-0.073454638,646,172,0.009488213,0.085886104,tax,unfiltered
19,Antibiotics_before_3_months,k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae,Antibiotics_before_3_months1,0.016218622,646,66,0.010161721,0.091718295,tax,unfiltered
20,Antibiotics_before_3_months,k__Bacteria|p__Bacteroidetes,Antibiotics_before_3_months1,-0.088911163,646,489,0.010300352,0.092703167,tax,unfiltered
21,Antibiotics_before_3_months,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,Antibiotics_before_3_months1,-0.088796185,646,489,0.010371644,0.093078099,tax,unfiltered
22,Antibiotics_before_3_months,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae,Antibiotics_before_3_months1,0.055073094,646,487,0.011502656,0.101774208,tax,unfiltered
23,Antibiotics_before_3_months,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,Antibiotics_before_3_months1,-0.085967011,646,489,0.012725605,0.111651192,tax,unfiltered
24,Antibiotics_before_3_months,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae|t__Streptococcus_mitis_oralis_pneumoniae_unclassified,Antibiotics_before_3_months1,0.053777919,646,487,0.013231368,0.115443682,tax,unfiltered
25,Antibiotics_before_3_months,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname,Antibiotics_before_3_months1,-0.068554634,646,344,0.016452442,0.141581154,tax,unfiltered
26,Antibiotics_before_3_months,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium,Antibiotics_before_3_months1,0.057812572,646,98,0.017429962,0.148367238,tax,unfiltered
27,Antibiotics_before_3_months,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium|t__Bifidobacterium_dentium_unclassified,Antibiotics_before_3_months1,0.057812572,646,98,0.017429962,0.148367238,tax,unfiltered
28,Antibiotics_before_3_months,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques,Antibiotics_before_3_months1,-0.080707025,646,398,0.019237797,0.163313302,tax,unfiltered
29,Antibiotics_before_3_months,k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales,Antibiotics_before_3_months1,0.050920123,646,131,0.023009581,0.190192356,tax,unfiltered
30,Antibiotics_before_3_months,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,Antibiotics_before_3_months1,-0.081385058,646,470,0.030648487,0.243098227,tax,unfiltered
31,Antibiotics_before_3_months,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae,Antibiotics_before_3_months1,-0.03570938,646,218,0.030849489,0.244076181,tax,unfiltered
32,Antibiotics_before_3_months,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,Antibiotics_before_3_months1,-0.080807891,646,470,0.031086599,0.245334186,tax,unfiltered
23,Any_smoking_during_pregnancy,M00133,Any_smoking_during_pregnancy1,0.023038829,654,616,0.008031695,0.066599897,module,unfiltered
24,Any_smoking_during_pregnancy,M00150,Any_smoking_during_pregnancy1,0.019864702,654,492,0.011546537,0.086952495,module,unfiltered
25,Any_smoking_during_pregnancy,M00011,Any_smoking_during_pregnancy1,0.023326048,654,560,0.012998001,0.09635502,module,unfiltered
26,Any_smoking_during_pregnancy,M00197,Any_smoking_during_pregnancy1,0.020035533,654,654,0.013587267,0.099281217,module,unfiltered
27,Any_smoking_during_pregnancy,M00009,Any_smoking_during_pregnancy1,0.021628335,654,559,0.026179609,0.177252763,module,unfiltered
28,Any_smoking_during_pregnancy,M00049,Any_smoking_during_pregnancy1,-0.018573564,654,654,0.02707228,0.181510255,module,unfiltered
29,Any_smoking_during_pregnancy,M00194,Any_smoking_during_pregnancy1,0.018425478,654,643,0.028017354,0.18461435,module,unfiltered
30,Any_smoking_during_pregnancy,M00003,Any_smoking_during_pregnancy1,0.019113178,654,654,0.037880753,0.238940137,module,unfiltered
5,Any_smoking_during_pregnancy,M00060,Any_smoking_during_pregnancy1,0.013409162,518,418,0.010727494,0.105805419,module,filtered
49,Any_smoking_during_pregnancy,ko03430,Any_smoking_during_pregnancy1,-0.004431857,654,654,0.001643715,0.015028251,pwy,unfiltered
50,Any_smoking_during_pregnancy,ko00791,Any_smoking_during_pregnancy1,0.006747971,654,653,0.002210353,0.018722988,pwy,unfiltered
51,Any_smoking_during_pregnancy,ko00473,Any_smoking_during_pregnancy1,-0.011323479,654,654,0.00454892,0.035407809,pwy,unfiltered
52,Any_smoking_during_pregnancy,ko00630,Any_smoking_during_pregnancy1,0.006738727,654,654,0.005640467,0.0427488,pwy,unfiltered
53,Any_smoking_during_pregnancy,ko00400,Any_smoking_during_pregnancy1,-0.005884519,654,654,0.006153597,0.046332965,pwy,unfiltered
54,Any_smoking_during_pregnancy,ko03440,Any_smoking_during_pregnancy1,-0.003990524,654,654,0.007809489,0.058042139,pwy,unfiltered
55,Any_smoking_during_pregnancy,ko05111,Any_smoking_during_pregnancy1,0.003117386,654,649,0.008893333,0.064842532,pwy,unfiltered
56,Any_smoking_during_pregnancy,ko03030,Any_smoking_during_pregnancy1,-0.004894557,654,654,0.011951203,0.080986976,pwy,unfiltered
57,Any_smoking_during_pregnancy,ko00900,Any_smoking_during_pregnancy1,-0.00420563,654,654,0.012616644,0.084013721,pwy,unfiltered
58,Any_smoking_during_pregnancy,ko00910,Any_smoking_during_pregnancy1,0.004387096,654,654,0.013411935,0.088288852,pwy,unfiltered
59,Any_smoking_during_pregnancy,ko00670,Any_smoking_during_pregnancy1,-0.003630954,654,654,0.019585506,0.120581669,pwy,unfiltered
60,Any_smoking_during_pregnancy,ko00340,Any_smoking_during_pregnancy1,-0.007060419,654,654,0.023928013,0.143568079,pwy,unfiltered
61,Any_smoking_during_pregnancy,ko00440,Any_smoking_during_pregnancy1,-0.00386455,654,654,0.024723466,0.145815876,pwy,unfiltered
62,Any_smoking_during_pregnancy,ko00710,Any_smoking_during_pregnancy1,0.003450936,654,648,0.041837794,0.225220274,pwy,unfiltered
16,Any_smoking_during_pregnancy,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_oxytoca,Any_smoking_during_pregnancy1,0.087078387,518,173,3.49E-07,4.75E-06,tax,filtered
17,Any_smoking_during_pregnancy,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_oxytoca|t__Klebsiella_oxytoca_unclassified,Any_smoking_during_pregnancy1,0.087078387,518,173,3.49E-07,4.75E-06,tax,filtered
18,Any_smoking_during_pregnancy,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_unclassified,Any_smoking_during_pregnancy1,0.288925235,518,269,0.000543946,0.005854074,tax,filtered
19,Any_smoking_during_pregnancy,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_elegans,Any_smoking_during_pregnancy1,0.038308563,518,55,0.000566433,0.006053753,tax,filtered
20,Any_smoking_during_pregnancy,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_elegans|t__GCF_000162475,Any_smoking_during_pregnancy1,0.038308563,518,55,0.000566433,0.006053753,tax,filtered
21,Any_smoking_during_pregnancy,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_ramosum,Any_smoking_during_pregnancy1,0.146053064,518,224,0.001027723,0.010655914,tax,filtered
22,Any_smoking_during_pregnancy,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_ramosum|t__GCF_000154485,Any_smoking_during_pregnancy1,0.146053064,518,224,0.001027723,0.010655914,tax,filtered
23,Any_smoking_during_pregnancy,k__Bacteria|p__Firmicutes|c__Erysipelotrichia,Any_smoking_during_pregnancy1,0.257230447,518,315,0.001031664,0.010655914,tax,filtered
24,Any_smoking_during_pregnancy,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,Any_smoking_during_pregnancy1,0.257230447,518,315,0.001031664,0.010655914,tax,filtered
25,Any_smoking_during_pregnancy,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae,Any_smoking_during_pregnancy1,0.257230447,518,315,0.001031664,0.010655914,tax,filtered
26,Any_smoking_during_pregnancy,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,Any_smoking_during_pregnancy1,0.169005248,518,294,0.0012579,0.012820583,tax,filtered
27,Any_smoking_during_pregnancy,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella,Any_smoking_during_pregnancy1,0.08582157,518,233,0.002388422,0.023487425,tax,filtered
